sexe,age,csp,departement,weight
Femme,50-64,Employe,75,0.0032639999999999995
Femme,50-64,Employe,13,0.0024479999999999997
Femme,50-64,Employe,33,0.0016319999999999998
Femme,50-64,Employe,59,0.0020399999999999997
Femme,50-64,Employe,69,0.0020399999999999997
Femme,50-64,Employe,autres,0.029375999999999992
Femme,50-64,Ouvrier,75,0.0020399999999999997
Femme,50-64,Ouvrier,13,0.0015299999999999997
Femme,50-64,Ouvrier,33,0.0010199999999999999
Femme,50-64,Ouvrier,59,0.0012749999999999999
Femme,50-64,Ouvrier,69,0.0012749999999999999
Femme,50-64,Ouvrier,autres,0.018359999999999998
Femme,50-64,Retraite,75,0.0030599999999999994
Femme,50-64,Retraite,13,0.0022949999999999993
Femme,50-64,Retraite,33,0.0015299999999999997
Femme,50-64,Retraite,59,0.0019124999999999997
Femme,50-64,Retraite,69,0.0019124999999999997
Femme,50-64,Retraite,autres,0.02753999999999999
Femme,65+,Cadre,75,0.0017625599999999996
Femme,65+,Cadre,13,0.0013219199999999996
Femme,65+,Cadre,33,0.0008812799999999998
Femme,65+,Cadre,59,0.0011015999999999999
Femme,65+,Cadre,69,0.0011015999999999999
Femme,65+,Cadre,autres,0.015863039999999995
Femme,65+,Employe,75,0.0031334399999999995
Femme,65+,Employe,13,0.0023500799999999996
Femme,65+,Employe,33,0.0015667199999999997
Femme,65+,Employe,59,0.0019584
Femme,65+,Employe,69,0.0019584
Femme,65+,Employe,autres,0.028200959999999994
Femme,65+,Ouvrier,75,0.0019584
Femme,65+,Ouvrier,13,0.0014687999999999997
Femme,65+,Ouvrier,33,0.0009792
Femme,65+,Ouvrier,59,0.001224
Femme,65+,Ouvrier,69,0.001224
Femme,65+,Ouvrier,autres,0.017625599999999998
Femme,65+,Retraite,75,0.002937599999999999
Femme,65+,Retraite,13,0.0022031999999999993
Femme,65+,Retraite,33,0.0014687999999999995
Femme,65+,Retraite,59,0.0018359999999999995
Femme,65+,Retraite,69,0.0018359999999999995
Femme,65+,Retraite,autres,0.02643839999999999
